area_type,location,Area,bath,balcony,price,bhk,area_per_bhk
Super built-up  Area,Kanakpura Road,1843.0,3.0,3.0,92.15,3,614.3333333333334
Super built-up  Area,EPIP Zone,1330.0,2.0,2.0,86.98,2,665.0
Super built-up  Area,other,1400.0,2.0,2.0,73.0,3,466.6666666666667
Super built-up  Area,Thigalarapalya,1297.0,2.0,2.0,103.0,2,648.5
Super built-up  Area,Sarjapur  Road,615.0,1.0,1.0,17.835,1,615.0
Super built-up  Area,Vijayanagar,1490.0,3.0,3.0,100.0,3,496.6666666666667
Super built-up  Area,other,1373.0,3.0,3.0,72.0,3,457.6666666666667
Super built-up  Area,HSR Layout,1750.0,3.0,3.0,95.0,3,583.3333333333334
Super built-up  Area,other,1052.0,2.0,2.0,50.0,2,526.0
Super built-up  Area,Raja Rajeshwari Nagar,1128.0,2.0,2.0,38.24,2,564.0
Super built-up  Area,JP Nagar,1120.0,2.0,2.0,33.6,2,560.0
Super built-up  Area,Kanakapura,1090.0,2.0,2.0,32.69,2,545.0
Super built-up  Area,Uttarahalli,1330.0,2.0,2.0,46.55,3,443.3333333333333
Super built-up  Area,Hosur Road,1427.0,2.0,2.0,80.63,3,475.6666666666667
Built-up  Area,Begur,1580.0,3.0,3.0,75.0,3,526.6666666666666
Plot  Area,Chikka Tirupathi,1808.0,4.0,4.0,80.27,3,602.6666666666666
Super built-up  Area,other,1194.0,2.0,2.0,47.0,2,597.0
Super built-up  Area,other,1390.0,3.0,3.0,120.0,3,463.3333333333333
Built-up  Area,Bisuvanahalli,845.0,2.0,2.0,33.0,2,422.5
Super built-up  Area,Yelahanka,1537.0,3.0,3.0,120.0,3,512.3333333333334
Super built-up  Area,Hoodi,1512.0,3.0,3.0,75.77,3,504.0
Super built-up  Area,Jigani,1230.0,3.0,3.0,54.0,3,410.0
Super built-up  Area,other,1378.0,2.0,2.0,42.33,3,459.3333333333333
Super built-up  Area,Whitefield,1277.0,2.0,2.0,61.3,2,638.5
Super built-up  Area,other,1210.0,2.0,2.0,62.0,2,605.0
Super built-up  Area,Electronic City,975.0,2.0,2.0,37.5,2,487.5
Super built-up  Area,Rajiv Nagar,1690.0,3.0,3.0,125.0,3,563.3333333333334
Super built-up  Area,Hosa Road,1063.0,2.0,2.0,31.89,2,531.5
Built-up  Area,other,1600.0,3.0,3.0,80.0,3,533.3333333333334
Super built-up  Area,Bommanahalli,520.0,1.0,1.0,19.5,1,520.0
Built-up  Area,Munnekollal,1390.0,3.0,3.0,68.0,3,463.3333333333333
Super built-up  Area,Whitefield,1185.0,2.0,2.0,40.0,2,592.5
Super built-up  Area,Sahakara Nagar,1219.0,2.0,2.0,48.0,2,609.5
Super built-up  Area,Kudlu Gate,1564.0,2.0,2.0,92.0,3,521.3333333333334
Super built-up  Area,Hosa Road,1100.0,2.0,2.0,37.1,2,550.0
Built-up  Area,other,1300.0,2.0,2.0,60.0,3,433.3333333333333
Super built-up  Area,Hennur Road,1482.0,2.0,2.0,92.0,3,494.0
Plot  Area,other,1000.0,4.0,4.0,66.0,3,333.3333333333333
Super built-up  Area,Marathahalli,1469.0,3.0,3.0,89.0,3,489.6666666666667
Super built-up  Area,Balagere,1205.0,2.0,2.0,78.5,2,602.5
Super built-up  Area,Gubbalala,1745.0,3.0,3.0,125.0,3,581.6666666666666
Super built-up  Area,AECS Layout,1028.0,2.0,2.0,42.0,2,514.0
Super built-up  Area,Frazer Town,1700.0,3.0,3.0,180.0,3,566.6666666666666
Super built-up  Area,Karuna Nagar,1200.0,2.0,2.0,34.0,3,400.0
Built-up  Area,other,1100.0,2.0,2.0,50.0,2,550.0
Super built-up  Area,other,1269.72,2.0,2.0,68.0,2,634.86
Super built-up  Area,Electronic City Phase II,1266.0,2.0,2.0,59.0,2,633.0
Super built-up  Area,Mysore Road,1060.0,2.0,2.0,62.0,2,530.0
Plot  Area,other,1168.0,3.0,3.0,70.0,3,389.3333333333333
Super built-up  Area,other,1552.0,2.0,2.0,51.0,2,776.0
Super built-up  Area,Talaghattapura,2038.5,3.0,3.0,120.0,3,679.5
Super built-up  Area,Attibele,500.0,1.0,1.0,17.0,1,500.0
Super built-up  Area,other,1300.0,2.0,2.0,65.0,2,650.0
Built-up  Area,Electronics City Phase 1,920.0,2.0,2.0,33.0,2,460.0
Built-up  Area,Harlur,1310.0,2.0,2.0,50.0,2,655.0
Super built-up  Area,other,1515.0,3.0,3.0,93.93,3,505.0
Super built-up  Area,Raja Rajeshwari Nagar,1157.0,2.0,2.0,53.8,2,578.5
Super built-up  Area,Rachenahalli,1530.0,2.0,2.0,74.39,3,510.0
Super built-up  Area,other,2070.0,3.0,3.0,162.0,3,690.0
Built-up  Area,Yelahanka,1815.0,3.0,3.0,82.0,3,605.0
Super built-up  Area,Electronic City Phase II,1000.0,2.0,2.0,28.88,2,500.0
Super built-up  Area,Hennur Road,1232.0,2.0,2.0,89.0,2,616.0
Super built-up  Area,Binny Pete,1282.0,3.0,3.0,178.0,3,427.3333333333333
Super built-up  Area,Yelahanka,654.0,1.0,1.0,38.4,1,654.0
Super built-up  Area,other,1616.0,3.0,3.0,75.0,3,538.6666666666666
Super built-up  Area,Whitefield,1306.0,3.0,3.0,54.65,3,435.3333333333333
Super built-up  Area,Whitefield,1626.0,3.0,3.0,89.0,3,542.0
Super built-up  Area,Whitefield,1585.0,3.0,3.0,88.0,3,528.3333333333334
Super built-up  Area,Kanakpura Road,1495.0,2.0,2.0,90.0,2,747.5
Super built-up  Area,Whitefield,665.0,2.6926096474673513,2.6926096474673513,28.585,1,665.0
Super built-up  Area,other,1645.0,3.0,3.0,100.0,3,548.3333333333334
Super built-up  Area,other,1760.0,3.0,3.0,176.0,3,586.6666666666666
Built-up  Area,other,595.0,1.0,1.0,42.0,1,595.0
Plot  Area,Bommenahalli,1200.0,3.0,3.0,125.0,3,400.0
Built-up  Area,other,1410.0,2.0,2.0,67.0,2,705.0
Super built-up  Area,Sarjapur  Road,1300.0,2.0,2.0,60.0,2,650.0
Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,85.0,3,630.0
Super built-up  Area,other,1254.0,2.0,2.0,53.0,2,627.0
Built-up  Area,other,1170.0,2.0,2.0,86.0,2,585.0
Super built-up  Area,Panathur,1193.0,2.0,2.0,86.0,2,596.5
Super built-up  Area,Marathahalli,1678.0,3.0,3.0,70.0,3,559.3333333333334
Built-up  Area,Gunjur,1600.0,3.0,3.0,75.0,3,533.3333333333334
Super built-up  Area,Electronics City Phase 1,1750.0,3.0,3.0,84.0,3,583.3333333333334
Built-up  Area,other,1000.0,2.0,2.0,50.0,2,500.0
Built-up  Area,Electronic City Phase II,1320.0,2.0,2.0,38.13,3,440.0
Built-up  Area,Kasavanhalli,1100.0,2.0,2.0,50.0,2,550.0
Built-up  Area,Uttarahalli,882.0,2.0,2.0,30.0,2,441.0
Super built-up  Area,Bisuvanahalli,845.0,2.0,2.0,37.0,2,422.5
Super built-up  Area,Kambipura,883.0,2.0,2.0,39.0,2,441.5
Super built-up  Area,Thanisandra,776.5,2.6926096474673513,2.6926096474673513,48.145,1,776.5
Super built-up  Area,Brookefield,1595.0,3.0,3.0,88.0,3,531.6666666666666
Built-up  Area,Whitefield,1280.0,2.0,2.0,85.0,2,640.0
Super built-up  Area,other,920.0,2.0,2.0,35.0,2,460.0
Super built-up  Area,Choodasandra,1300.0,2.0,2.0,57.0,2,650.0
Super built-up  Area,Harlur,1757.0,3.0,3.0,132.0,3,585.6666666666666
Super built-up  Area,EPIP Zone,1330.0,2.0,2.0,93.36,2,665.0
Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,2.0,42.47,2,531.0
Built-up  Area,JP Nagar,1078.0,2.0,2.0,45.0,2,539.0
Super built-up  Area,Bannerghatta Road,1460.0,2.0,2.0,72.0,3,486.6666666666667
Plot  Area,Prithvi Layout,2028.0,4.0,4.0,162.0,4,507.0
Super built-up  Area,Mysore Road,980.0,2.0,2.0,45.47,2,490.0
Built-up  Area,Sarjapur  Road,1000.0,2.0,2.0,40.0,2,500.0
Super built-up  Area,Sarjapur  Road,1050.0,2.0,2.0,62.0,2,525.0
Super built-up  Area,Domlur,1875.0,2.0,2.0,150.0,3,625.0
Built-up  Area,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3,575.0
Super built-up  Area,Thubarahalli,1128.0,2.0,2.0,75.0,2,564.0
Super built-up  Area,Yelahanka,1705.0,3.0,3.0,74.16,3,568.3333333333334
Built-up  Area,Hebbal,1100.0,2.0,2.0,50.0,2,550.0
Super built-up  Area,Hebbal,812.0,2.0,2.0,55.0,2,406.0
Super built-up  Area,Whitefield,1420.0,2.0,2.0,136.0,2,710.0
Super built-up  Area,other,1722.0,3.0,3.0,95.0,3,574.0
Carpet  Area,other,1650.0,3.0,3.0,175.0,3,550.0
Built-up  Area,other,840.0,2.0,2.0,27.0,2,420.0
Built-up  Area,Jigani,914.0,2.0,2.0,47.0,2,457.0
Super built-up  Area,Hennur Road,1482.0,2.0,2.0,83.73,3,494.0
Super built-up  Area,Kundalahalli,1724.0,3.0,3.0,127.0,3,574.6666666666666
Super built-up  Area,other,1670.0,3.0,3.0,91.86,3,556.6666666666666
Super built-up  Area,Jigani,927.0,2.0,2.0,55.0,2,463.5
Built-up  Area,Electronic City Phase II,1220.0,3.0,3.0,35.23,3,406.6666666666667
Built-up  Area,Electronic City,1360.0,2.0,2.0,75.0,3,453.3333333333333
Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2,590.0
Super built-up  Area,Whitefield,1697.0,3.0,3.0,108.0,3,565.6666666666666
Super built-up  Area,Hennur,1225.0,2.0,2.0,57.0,2,612.5
Super built-up  Area,other,1690.0,2.0,2.0,55.0,3,563.3333333333334
Built-up  Area,other,1250.0,2.0,2.0,80.0,3,416.6666666666667
Super built-up  Area,JP Nagar,1050.0,1.0,1.0,44.0,1,1050.0
Super built-up  Area,Kanakpura Road,1699.0,3.0,3.0,81.94,3,566.3333333333334
Built-up  Area,Whitefield,1205.0,2.0,2.0,58.0,2,602.5
Super built-up  Area,Akshaya Nagar,1476.0,3.0,3.0,120.0,3,492.0
Super built-up  Area,EPIP Zone,2160.0,4.0,4.0,172.0,3,720.0
Super built-up  Area,Sector 2 HSR Layout,1296.0,2.0,2.0,75.0,2,648.0
Super built-up  Area,Kanakpura Road,1570.0,3.0,3.0,64.5,3,523.3333333333334
Super built-up  Area,Koramangala,1300.0,2.0,2.0,110.0,2,650.0
Super built-up  Area,Electronic City,770.0,1.0,1.0,40.0,2,385.0
Built-up  Area,Jalahalli,1870.0,3.0,3.0,110.0,3,623.3333333333334
Plot  Area,other,1650.0,4.0,4.0,160.0,3,550.0
Super built-up  Area,Domlur,1429.0,3.0,3.0,86.0,3,476.3333333333333
Super built-up  Area,Bommasandra,1035.0,2.0,2.0,41.73,2,517.5
Super built-up  Area,Nagarbhavi,884.0,2.0,2.0,36.0,1,884.0
Super built-up  Area,Hoodi,1026.0,2.0,2.0,60.87,2,513.0
Super built-up  Area,Subramanyapura,975.0,2.0,2.0,58.0,2,487.5
Super built-up  Area,Sarjapur  Road,1700.0,3.0,3.0,135.0,3,566.6666666666666
Super built-up  Area,Padmanabhanagar,1258.0,2.0,2.0,115.0,2,629.0
Carpet  Area,Kanakpura Road,1560.0,3.0,3.0,92.0,3,520.0
Super built-up  Area,other,1494.0,2.0,2.0,94.55,3,498.0
Super built-up  Area,Hennur Road,1482.0,2.0,2.0,87.0,3,494.0
Super built-up  Area,other,800.0,2.0,2.0,50.0,2,400.0
Super built-up  Area,Hulimavu,1100.0,2.0,2.0,71.5,2,550.0
Super built-up  Area,other,1225.0,2.0,2.0,150.0,2,612.5
Built-up  Area,Hormavu,1180.0,2.0,2.0,50.0,2,590.0
Super built-up  Area,other,1260.0,2.0,2.0,58.0,2,630.0
Built-up  Area,other,1190.0,2.0,2.0,55.0,2,595.0
Super built-up  Area,Sarjapur  Road,1691.0,3.0,3.0,119.0,3,563.6666666666666
Built-up  Area,Frazer Town,1305.0,3.0,3.0,95.45,3,435.0
Super built-up  Area,other,1250.0,2.0,2.0,65.0,2,625.0
Built-up  Area,Kereguddadahalli,800.0,2.0,2.0,28.0,2,400.0
Super built-up  Area,other,1020.0,2.0,2.0,58.0,2,510.0
Built-up  Area,Frazer Town,1510.0,2.0,2.0,75.0,3,503.3333333333333
Super built-up  Area,other,1614.0,3.0,3.0,110.0,3,538.0
Built-up  Area,Bommenahalli,1632.0,3.0,3.0,145.0,4,408.0
Super built-up  Area,Sector 2 HSR Layout,1450.0,2.0,2.0,135.0,3,483.3333333333333
Super built-up  Area,Bannerghatta Road,1200.0,2.0,2.0,75.0,2,600.0
Super built-up  Area,Hosur Road,1508.0,2.0,2.0,110.0,3,502.6666666666667
Super built-up  Area,other,1188.0,2.0,2.0,73.0,2,594.0
Super built-up  Area,Harlur,1174.0,2.0,2.0,76.0,2,587.0
Super built-up  Area,Old Madras Road,1350.0,3.0,3.0,58.99,3,450.0
Super built-up  Area,Kengeri Satellite Town,1072.0,2.0,2.0,25.0,2,536.0
Super built-up  Area,Kengeri,726.0,2.0,2.0,31.0,2,363.0
Super built-up  Area,Hosur Road,1345.0,2.0,2.0,106.0,2,672.5
Super built-up  Area,Begur Road,1200.0,2.0,2.0,45.0,2,600.0
Super built-up  Area,Hormavu,1050.0,2.0,2.0,77.0,2,525.0
Super built-up  Area,Vittasandra,1743.0,3.0,3.0,85.0,3,581.0
Super built-up  Area,Sarjapur,950.0,2.0,2.0,32.5,2,475.0
Built-up  Area,Domlur,640.0,1.0,1.0,55.0,1,640.0
Super built-up  Area,Electronic City Phase II,972.0,2.0,2.0,44.0,2,486.0
Super built-up  Area,Marathahalli,1840.0,3.0,3.0,98.0,3,613.3333333333334
Super built-up  Area,Electronic City,1128.0,2.0,2.0,64.0,2,564.0
Super built-up  Area,other,1150.0,2.0,2.0,63.0,2,575.0
Super built-up  Area,Jigani,920.0,2.0,2.0,46.0,2,460.0
Super built-up  Area,Thanisandra,1564.0,3.0,3.0,101.0,3,521.3333333333334
Super built-up  Area,Uttarahalli,1045.0,2.0,2.0,45.0,2,522.5
Super built-up  Area,Sarjapur  Road,1846.0,3.0,3.0,140.0,3,615.3333333333334
Super built-up  Area,other,1690.0,3.0,3.0,75.0,3,563.3333333333334
Built-up  Area,other,1068.0,2.0,2.0,40.05,2,534.0
Super built-up  Area,Kanakpura Road,1135.0,2.0,2.0,58.0,2,567.5
Super built-up  Area,Kaggadasapura,1150.0,2.0,2.0,42.0,2,575.0
Super built-up  Area,Tumkur Road,1354.0,3.0,3.0,90.0,3,451.3333333333333
Plot  Area,Varthur,1320.0,2.0,2.0,110.0,4,330.0
Super built-up  Area,other,1000.0,2.0,2.0,36.0,2,500.0
Super built-up  Area,other,1130.0,3.0,3.0,38.0,3,376.6666666666667
Super built-up  Area,Gubbalala,1745.0,3.0,3.0,104.0,3,581.6666666666666
Super built-up  Area,other,1550.0,2.0,2.0,70.0,3,516.6666666666666
Super built-up  Area,other,1329.0,2.0,2.0,45.95,3,443.0
Super built-up  Area,other,916.0,2.0,2.0,42.0,2,458.0
Super built-up  Area,Hulimavu,688.0,1.0,1.0,50.0,1,688.0
Super built-up  Area,other,1358.0,3.0,3.0,50.0,3,452.6666666666667
Super built-up  Area,Kanakpura Road,1331.0,2.0,2.0,107.0,2,665.5
Super built-up  Area,Malleshwaram,686.0,1.0,1.0,62.5,1,686.0
Super built-up  Area,Hoodi,1050.0,2.0,2.0,50.0,2,525.0
Super built-up  Area,Talaghattapura,2106.0,3.0,3.0,126.0,3,702.0
Super built-up  Area,Bhoganhalli,1718.0,3.0,3.0,90.2,3,572.6666666666666
Super built-up  Area,Raja Rajeshwari Nagar,1530.0,3.0,3.0,57.0,3,510.0
Built-up  Area,Hebbal,1075.0,2.0,2.0,52.0,2,537.5
Super built-up  Area,other,1936.0,2.0,2.0,54.21,3,645.3333333333334
Super built-up  Area,other,2172.65,3.0,3.0,120.0,4,543.1625
Super built-up  Area,Sarjapur  Road,1117.0,2.0,2.0,29.99,2,558.5
Built-up  Area,other,1685.0,2.0,2.0,110.0,3,561.6666666666666
Super built-up  Area,CV Raman Nagar,740.0,2.0,2.0,37.0,2,370.0
Super built-up  Area,Banashankari,1800.0,3.0,3.0,115.0,3,600.0
Super built-up  Area,other,1700.0,3.0,3.0,130.0,3,566.6666666666666
Built-up  Area,Uttarahalli,850.0,2.0,2.0,37.93,2,425.0
Super built-up  Area,Hennur Road,1891.0,3.0,3.0,139.0,3,630.3333333333334
Built-up  Area,Jalahalli,1400.0,1.0,1.0,80.0,2,700.0
Built-up  Area,Sonnenahalli,896.0,2.0,2.0,43.75,2,448.0
Super built-up  Area,Vijayanagar,1180.0,2.0,2.0,65.0,2,590.0
Built-up  Area,other,850.0,2.0,2.0,33.0,2,425.0
Super built-up  Area,Kanakapura,1699.0,3.0,3.0,97.0,3,566.3333333333334
Super built-up  Area,Bellandur,2025.0,4.0,4.0,109.0,4,506.25
Built-up  Area,other,500.0,1.0,1.0,20.0,1,500.0
Super built-up  Area,Haralur Road,1455.0,2.0,2.0,145.0,2,727.5
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,3.0,94.99,3,507.0
Super built-up  Area,other,1765.0,3.0,3.0,105.0,3,588.3333333333334
Super built-up  Area,Kasavanhalli,1980.0,3.0,3.0,88.0,3,660.0
Super built-up  Area,other,1265.0,2.0,2.0,70.0,2,632.5
Super built-up  Area,Bommasandra,1034.0,2.0,2.0,40.0,2,517.0
Super built-up  Area,Electronic City,1070.0,2.0,2.0,54.0,2,535.0
Super built-up  Area,other,2045.0,4.0,4.0,154.0,3,681.6666666666666
Super built-up  Area,Bellandur,1490.0,2.0,2.0,98.0,3,496.6666666666667
Super built-up  Area,Yeshwanthpur,671.0,1.0,1.0,36.85,1,671.0
Super built-up  Area,Kammasandra,1156.0,2.0,2.0,32.0,2,578.0
Super built-up  Area,Haralur Road,2017.0,3.0,3.0,125.0,3,672.3333333333334
Super built-up  Area,Ramagondanahalli,1635.0,3.0,3.0,62.0,3,545.0
Super built-up  Area,Kanakpura Road,1296.0,2.0,2.0,89.0,2,648.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,62.0,2,569.5
Super built-up  Area,Binny Pete,1245.0,2.0,2.0,86.28,2,622.5
Super built-up  Area,Electronic City,550.0,1.0,1.0,15.0,2,275.0
Built-up  Area,Green Glen Layout,1670.0,3.0,3.0,120.0,3,556.6666666666666
Built-up  Area,7th Phase JP Nagar,1050.0,2.0,2.0,57.0,3,350.0
Super built-up  Area,Hennur Road,1703.0,3.0,3.0,101.0,3,567.6666666666666
Super built-up  Area,Kaggalipura,1210.0,2.0,2.0,58.0,3,403.3333333333333
Super built-up  Area,7th Phase JP Nagar,1343.0,2.0,2.0,56.41,3,447.6666666666667
Super built-up  Area,other,925.0,2.0,2.0,51.0,2,462.5
Super built-up  Area,Kanakpura Road,1420.0,2.0,2.0,75.0,3,473.3333333333333
Built-up  Area,other,1415.0,2.0,2.0,110.0,2,707.5
Super built-up  Area,other,1210.0,2.0,2.0,60.0,2,605.0
Super built-up  Area,Yeshwanthpur,1852.0,3.0,3.0,160.0,3,617.3333333333334
Super built-up  Area,Hoskote,1250.0,3.0,3.0,50.0,3,416.6666666666667
Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,2.0,65.0,2,550.0
Super built-up  Area,Jakkur,1100.0,2.0,2.0,53.35,2,550.0
Plot  Area,Magadi Road,1350.0,1.0,1.0,100.0,2,675.0
Super built-up  Area,Panathur,1546.0,3.0,3.0,99.0,3,515.3333333333334
Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2,712.0
Built-up  Area,Bellandur,1398.0,3.0,3.0,68.0,3,466.0
Super built-up  Area,Brookefield,1476.0,3.0,3.0,105.0,3,492.0
Super built-up  Area,Magadi Road,1322.0,2.0,2.0,58.82,3,440.6666666666667
Built-up  Area,Sarjapur,1285.0,2.0,2.0,68.0,3,428.3333333333333
Built-up  Area,Ambalipura,1150.0,2.0,2.0,80.0,2,575.0
Super built-up  Area,Thanisandra,1430.0,2.0,2.0,56.0,3,476.6666666666667
Built-up  Area,Thubarahalli,1185.0,2.0,2.0,65.0,2,592.5
Super built-up  Area,Bannerghatta Road,1760.0,3.0,3.0,67.0,3,586.6666666666666
Super built-up  Area,Kanakpura Road,1297.0,2.0,2.0,105.0,2,648.5
Super built-up  Area,other,1840.0,3.0,3.0,155.0,3,613.3333333333334
Carpet  Area,BTM 2nd Stage,950.0,2.0,2.0,52.0,2,475.0
Super built-up  Area,Yeshwanthpur,1277.5,2.0,2.0,95.815,2,638.75
Super built-up  Area,Electronic City,1571.0,3.0,3.0,89.0,3,523.6666666666666
Super built-up  Area,Electronic City Phase II,1031.0,2.0,2.0,55.0,2,515.5
Super built-up  Area,Whitefield,1485.0,2.0,2.0,90.0,2,742.5
Super built-up  Area,other,1109.0,2.0,2.0,60.0,2,554.5
Super built-up  Area,Whitefield,950.0,1.0,1.0,50.0,1,950.0
Super built-up  Area,Electronic City Phase II,1003.0,2.0,2.0,40.6,2,501.5
Super built-up  Area,Hulimavu,1255.0,2.0,2.0,73.0,2,627.5
Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,3.0,167.0,3,625.0
Super built-up  Area,Uttarahalli,1330.0,2.0,2.0,47.0,3,443.3333333333333
Plot  Area,Old Madras Road,1450.0,3.0,3.0,132.0,4,362.5
Super built-up  Area,Hoodi,1837.0,3.0,3.0,145.0,3,612.3333333333334
Super built-up  Area,Kudlu Gate,1238.0,2.0,2.0,55.0,2,619.0
Super built-up  Area,7th Phase JP Nagar,1405.0,2.0,2.0,59.01,3,468.3333333333333
Super built-up  Area,Kanakpura Road,1673.0,3.0,3.0,115.0,3,557.6666666666666
Super built-up  Area,Varthur,1112.0,2.0,2.0,40.0,2,556.0
Super built-up  Area,Electronic City Phase II,545.0,1.0,1.0,27.0,2,272.5
Super built-up  Area,Subramanyapura,985.0,2.0,2.0,58.0,2,492.5
Super built-up  Area,Kanakpura Road,825.0,1.0,1.0,36.29,1,825.0
Super built-up  Area,Hosa Road,1430.0,2.0,2.0,97.52,2,715.0
Super built-up  Area,Kengeri Satellite Town,1050.0,2.0,2.0,43.0,2,525.0
Built-up  Area,other,1533.0,3.0,3.0,115.0,3,511.0
Super built-up  Area,Lakshminarayana Pura,1750.0,3.0,3.0,150.0,3,583.3333333333334
Super built-up  Area,Prithvi Layout,1352.0,2.0,2.0,87.5,2,676.0
Super built-up  Area,Harlur,1754.0,3.0,3.0,125.0,3,584.6666666666666
Built-up  Area,other,1560.0,3.0,3.0,85.0,3,520.0
Super built-up  Area,Channasandra,1470.0,2.0,2.0,90.0,3,490.0
Built-up  Area,9th Phase JP Nagar,1035.0,2.0,2.0,45.0,2,517.5
Super built-up  Area,Jakkur,1100.0,2.0,2.0,52.0,2,550.0
Super built-up  Area,Bannerghatta Road,595.0,1.0,1.0,31.83,1,595.0
Super built-up  Area,HSR Layout,1650.0,3.0,3.0,110.0,3,550.0
Super built-up  Area,Ramagondanahalli,1235.0,2.0,2.0,46.8,2,617.5
Built-up  Area,7th Phase JP Nagar,1400.0,3.0,3.0,115.0,3,466.6666666666667
Super built-up  Area,other,1375.0,2.0,2.0,85.0,3,458.3333333333333
Super built-up  Area,Yelahanka,1065.0,2.0,2.0,40.84,2,532.5
Super built-up  Area,Whitefield,825.0,1.0,1.0,45.0,1,825.0
Super built-up  Area,other,1440.0,2.0,2.0,60.33,3,480.0
Super built-up  Area,Electronic City,870.0,2.0,2.0,39.5,2,435.0
Super built-up  Area,Panathur,1195.0,2.0,2.0,84.0,2,597.5
Super built-up  Area,Raja Rajeshwari Nagar,1530.0,3.0,3.0,61.2,3,510.0
Super built-up  Area,other,975.0,2.0,2.0,43.0,2,487.5
Super built-up  Area,Iblur Village,1920.0,3.0,3.0,130.0,3,640.0
Super built-up  Area,Thanisandra,1183.0,2.0,2.0,58.56,2,591.5
Super built-up  Area,other,1550.0,2.0,2.0,65.0,3,516.6666666666666
Super built-up  Area,Kaggadasapura,1110.0,2.0,2.0,53.0,2,555.0
Super built-up  Area,Kaggadasapura,1105.0,2.0,2.0,38.67,2,552.5
Super built-up  Area,Sarjapur  Road,1929.0,4.0,4.0,103.0,3,643.0
Built-up  Area,Ramamurthy Nagar,1525.0,3.0,3.0,100.0,3,508.3333333333333
Super built-up  Area,Nehru Nagar,1775.0,3.0,3.0,110.0,3,591.6666666666666
Built-up  Area,Banashankari,1125.0,2.0,2.0,63.0,2,562.5
Super built-up  Area,Sonnenahalli,1268.0,2.0,2.0,73.0,2,634.0
Built-up  Area,other,1500.0,3.0,3.0,88.0,3,500.0
Super built-up  Area,Electronic City,630.0,1.0,1.0,47.0,1,630.0
Super built-up  Area,Seegehalli,1525.0,3.0,3.0,65.0,3,508.3333333333333
Super built-up  Area,Kaggadasapura,1060.0,2.0,2.0,48.0,2,530.0
Super built-up  Area,Lingadheeranahalli,1687.0,3.0,3.0,127.0,3,562.3333333333334
Super built-up  Area,Thanisandra,1847.0,3.0,3.0,123.0,3,615.6666666666666
Super built-up  Area,Begur Road,1410.0,2.0,2.0,53.0,3,470.0
Super built-up  Area,7th Phase JP Nagar,1075.0,2.0,2.0,42.99,2,537.5
Built-up  Area,other,1010.0,2.0,2.0,46.0,2,505.0
Super built-up  Area,Kanakpura Road,983.0,2.0,2.0,50.6,2,491.5
Super built-up  Area,other,1140.0,2.0,2.0,76.0,2,570.0
Super built-up  Area,Sarjapur  Road,1215.0,2.0,2.0,110.0,2,607.5
Super built-up  Area,Bellandur,2039.0,3.0,3.0,168.0,3,679.6666666666666
Super built-up  Area,Kaggadasapura,1350.0,3.0,3.0,55.5,3,450.0
Carpet  Area,KR Puram,1128.76,3.0,3.0,47.405,3,376.25333333333333
Super built-up  Area,Electronic City,921.0,2.0,2.0,34.0,2,460.5
Super built-up  Area,Kundalahalli,1010.0,2.0,2.0,49.27,2,505.0
Super built-up  Area,KR Puram,1015.0,2.0,2.0,43.0,2,507.5
Built-up  Area,Lakshminarayana Pura,1179.0,2.0,2.0,75.0,2,589.5
Super built-up  Area,Kammasandra,870.0,2.0,2.0,24.0,2,435.0
Super built-up  Area,other,1000.0,1.0,1.0,55.0,2,500.0
Plot  Area,Kammasandra,1200.0,2.0,2.0,66.0,2,600.0
Super built-up  Area,Hennur,1255.0,2.0,2.0,57.5,2,627.5
Super built-up  Area,Hosur Road,1085.0,2.0,2.0,30.38,2,542.5
Super built-up  Area,Kanakpura Road,1592.0,3.0,3.0,125.0,3,530.6666666666666
Super built-up  Area,other,1934.0,3.0,3.0,150.0,3,644.6666666666666
Super built-up  Area,Harlur,1200.0,2.0,2.0,49.5,2,600.0
Super built-up  Area,Old Madras Road,935.0,2.0,2.0,45.0,2,467.5
Built-up  Area,Bommasandra,877.0,2.0,2.0,30.0,2,438.5
Super built-up  Area,other,936.0,2.0,2.0,42.0,2,468.0
Super built-up  Area,Hennur Road,1232.0,2.0,2.0,69.61,2,616.0
Super built-up  Area,Ambedkar Nagar,2225.0,4.0,4.0,169.0,3,741.6666666666666
Super built-up  Area,Dasarahalli,1901.0,3.0,3.0,119.0,3,633.6666666666666
Super built-up  Area,Sarjapur  Road,1819.0,3.0,3.0,100.0,3,606.3333333333334
Super built-up  Area,Sarjapur  Road,1845.0,4.0,4.0,110.0,3,615.0
Super built-up  Area,Talaghattapura,2254.0,3.0,3.0,170.0,3,751.3333333333334
Super built-up  Area,Frazer Town,1750.0,3.0,3.0,150.0,3,583.3333333333334
Built-up  Area,other,1020.0,2.0,2.0,37.0,2,510.0
Super built-up  Area,Lingadheeranahalli,1893.0,3.0,3.0,140.0,3,631.0
